Topic of discussion,Representative tweet id,Another representative tweet id (if any)
kann bedrücke findne zu ich würde sagne dachte diesem lizas thema foda verstehen wissne richtig nie nicht dirkie unbezahlbar ja b eher denke welt traune den geirrt,456504101711667200,456555684448837632
kann aber findne rechte wirklich brauche zu ich dann sagne dachte diesem lizas thema verstehen wissne böse richtig auch doch nicht dirkie nie kleinalexchens ja würde haben welt traune,456490648020189184,456561647918653440
verstehen ich findne preetz richtig gerade weiß nicht traune geirrt unbezahlbar ja,456503732826427392,456551948838514688
doof bin ist,456480363901366272,456553653994659840
linke schlaf träum und schnö sogar eine,456507248425304064,456562689095921664
traune weil ich nicht ja,456503732826427392,456524459021578240
geirrt mich,456551396066983936,456551725642424322
der fck kostengünstige,456480069578280960
pokalfinale ins,456480069578280960
nachtreten welches wissne noch von nie etwa du meinst,456503732826427392,456512581986172928
