Topic of discussion,Representative tweet id,Another representative tweet id (if any)
qua may algo hft algos,451153348293431297,451216093663617025
providers trader results evaporation prehft trading provider liquidity,451200253832593408,451207635195285505
system makers players mkrs maker market inventory,451146859138928641
price move action aid changes discovery,451146859138928641
trader trade traders returns moves block,451152530026676224,451224595714953216
info transaction transmission content inefficiencies fees,451151635993997312,451194616578973696
hfts predatory,451220133889843200,451228845312442368
thanks analysis,451207233246744576
brokerage infrastructure architecture,451194616578973696,451201190408101889
mkt makers inventory,451373571609079810,451216093663617025
